Province,District,Tehsil,Union Council,Village/City
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,ARAMBAI KAKOZAI,ARAMBI KAKOZAI
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,MAIZAI,BADWAN
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,MAIZAI,HAIB ZAI
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,MAIZAI,KULALZAI
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,MAIZAI,MAI ZAI
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,MAIZAI,MAJAK
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,MASE ZAI,RO ABDUL RAHMAN ZAI
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,PIR ALI ZAI,ARAMBI KAREZ
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,PIR ALI ZAI,ARAMBI MASEZAI
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,QILA ABDULLAH,KILLA ABDULLAH
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,QILA ABDULLAH,MACHKA
BALUCHISTAN,KILLA ABDULLAH,KILLA ABDULLAH,QILA ABDULLAH,ZAR KAREZ
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,AKHTAR ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,ALI KHAIL
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,ALLAH DAD ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,ALOZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,BAHADUR WAL
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,DOBANDI AKHTAR ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,GHIB ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,KARAZ MOHAMMAD AKBAR
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,KHUSTI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,MANGUS
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,NISHPAH
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,SIB ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,SOGHAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,TARKHA DAULAT ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,AKHTER ZAI,ZARKI KHANDKI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,ASHKOHOBIMULLA AKRAM
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,BADINAI BAZAR
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,GHAZLOONA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,JURJORAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,KHANO CHINA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,KILLI HAJI SHAIRAK
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,NAKOI KAREZ
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,SULTAN ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,TARKHA GHARBI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,TARKHA SHARKI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BADINI,WALGAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BATO ZAI,AMIRABAD
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BATO ZAI,BARAT KHAIL
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BATO ZAI,BATUZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BATO ZAI,GOWAL HAIDER ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BATO ZAI,NAWA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BATO ZAI,RUSTAM ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BATO ZAI,TODA GULA ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,BATO ZAI,TODA SFAR ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,ABDUL KARAZ
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,BANDAT PITOW MIRZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,DALEZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,DILLI JALALZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,DILOR
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,GHUTAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,HILALA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,JAWAR TARKI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,KACHHI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,KAMKI VIALA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,KAREZ MSAZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,KASHIMIR VIALA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,KATKE ZAI SHINA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,KHUSNOBE
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,MAINA WILA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,MANKI VIALA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,MANUKAREZ
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,MEET KHULLAH
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,MIRZA KHAN TARKI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,MIRZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,MOLVI BUKHTIAR
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,NAWE LAHORE
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,NIWGAI SHINA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,NOGIMANJARA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,PASIN ZAI TARKI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,PASSIN ZAI SHINA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,PASSINZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,SHAGAI PAYIZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,SHANGLOONA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,SHARAM MASSAZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,SKHAOBAI SHAMBE
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,TORKAN
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,YAHYA WAL
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,ZARA SHANA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,ZARGHON KAREZ
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,ZARHAMANJARAH
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH RURAL,ZHARAI PATOZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH URBAN,BARWALA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH URBAN,HAMAN ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH URBAN,KILLA SAIFULLAH
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH URBAN,KILLI JAHANGIR
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH URBAN,MUSA ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,KILA SAIFULLAH URBAN,ROGHAN JALAL ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,MUSAFIR PUR,BANDAT
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,MUSAFIR PUR,GHORI ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,MUSAFIR PUR,GOWAL ISMAIL ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,MUSAFIR PUR,TALAQA HAIDER ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,MUSAFIR PUR,TANGA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,SHEREEN JOGEZAI,ANDOBAH
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,SHEREEN JOGEZAI,JAN ABAD
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,SHEREEN JOGEZAI,KARWAN
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,SHEREEN JOGEZAI,KUCH KARIM ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,SHEREEN JOGEZAI,NAGHAR
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,SHEREEN JOGEZAI,RAIWANA
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,SHEREEN JOGEZAI,RODJOGIZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,SHEREEN JOGEZAI,SHUBAN
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,SHEREEN JOGEZAI,SINZALAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,SHEREEN JOGEZAI,TANISHPAH
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,TABLI,GHOZORI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,TABLI,KILLI MALIK FAZAL BARI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,TABLI,MIRO ZAI
BALUCHISTAN,KILLA SAIFULLAH,KILLA SAIFULLAH SUB-,TABLI,TABLI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KAN MEHTAR ZAI,ASO ZAI TALRI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KAN MEHTAR ZAI,FIROZI KAN
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KAN MEHTAR ZAI,IDRIS TALRI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KAN MEHTAR ZAI,IKTIAR KAREZ
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KAN MEHTAR ZAI,KAN MEHTER ZAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KAN MEHTAR ZAI,LALU ZAI KAREZ
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KAN MEHTAR ZAI,MURGHA MEHTAR ZAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KAN MEHTAR ZAI,YAQOOB KAREZ
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KAN MEHTAR ZAI,YAQOOBA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KANCHOGHI,AUCH ZAWAR
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KANCHOGHI,GHUT TEZA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KANCHOGHI,KACH MULLA ZAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KANCHOGHI,KANCHOGHI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KANCHOGHI,MULLA SHAKH
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KANCHOGHI,MURGHA BAKAL ZAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KANCHOGHI,RAGHA BAKAL ZAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,KANCHOGHI,YASINI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,LOI BAND,AWARA TALRAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,LOI BAND,KAJEER
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,LOI BAND,KURAM
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,LOI BAND,LOI BAND
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,LOI BAND,SKHOBI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,LOI BAND,SKHOBI MIR AFZAL
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,LOI BAND,TARGHATOD
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,LOI BAND,TOR GHABARGAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,LOI BAND,ZARPAN
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,BABU CHINA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,GARS MALAN
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,IDER BES
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,JUNGAL
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,KOHLI CHINA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,KOZ KACHH
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,LOWANI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,MIR ALI CHINA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,MUGHAL CHINA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,MURGHA FAQIR ZAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,MURGHAKAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,NAKROZ
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,ROGHANI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,SAKHOBAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,SAKHOBAI ROSHAN
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,SALAK
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,SHIN SHOB
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,SUR RAGHA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,WARZROB
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MARGHA FAQIR ZAI,ZARH GHEZA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,ATALA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,AUCH ZAMA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,AURGUS
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,AURGUS NASIR
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,AZGHUM
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,CHINAH GAT
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,DARGHA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,DUNYNA ZAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,GHABARGAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,INDAR KACH
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,KHAZINA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,KHULGAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,MALGHUZAR
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,MANDAK
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,MUGHAL TALRI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,MURGHA MURZGHAN
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,MUSLIM BAGH BAZAR
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,OBLUN
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,PASHA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,SARAH TANGI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,SHAKH
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,SIM KHAIL
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,SULTAN ZAI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,TALRI MOHD JAN
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,TOR TANGI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,MUSLIM BAGH RURAL,ZAMA SHAH MURAD
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,NASAI,BAGH VIALA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,NASAI,BARAT CHINA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,NASAI,CHURMA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,NASAI,GHUND AMRAN
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,NASAI,KAZA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,NASAI,MALKHOZGI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,NASAI,NASNI
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,NASAI,SHANA KH/WRHA
BALUCHISTAN,KILLA SAIFULLAH,UPPER ZHOB SUB-,TOWN MUSLIM BAGH,MUSLIM BAGH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,BAND THAL
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,BARAGH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,BARGARY
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,CHANDANI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,CHIBTANI BADANI KOH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,DAB
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,DAMAN
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,DANGO
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,DAR BELO
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,DARAZ BET
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,DARBHANI BHAMBOR
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,DEGI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,DODA ABAD
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,DOKE
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,DUR MUHAMMAD
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,GANDAR
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,GOKHI KACH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,GORANDANI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,GUNE THAL
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,HASHTAK
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,ISHTRAK
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,JAR
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KAHAN
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KAHIR KACH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KALERANI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KAMALAN KACH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KARBI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KASHI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KASO KHAUR
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KHAR WALK
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KHARPASI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KHATEGI DAF
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KODI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KOTRI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KUCH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KUSHARI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,KUZBAH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,LADO
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,LAG PATI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,LALI MAIDAN
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,MAIN KULCHAR
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,MEHI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,NANAK BAND
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,NATH THAL
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,NELAGH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,PAR PUSHT
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,PATILA
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,PESHI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,REKH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SAGHARI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SAR THAL
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SHAH HAJI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SHAH WAK
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SHAMENI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SHEKHO
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SHERANI MAIDAN
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SIAH GARI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SOHR ROHD
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SOR BAH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,SOTAGH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,TALANG
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,TARA TANI
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,TOBO
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,TURK KOH
BALUCHISTAN,KOHLU,KAHAN SUB-,KAHAN,ZAI
BALUCHISTAN,KOHLU,KAHAN SUB-,NASAO,ARANDWANI
